institution,period,euro,doi,publicationTitle,authorNames,is_hybrid,publisher,journal_full_title,issn,issn_print,issn_electronic,issn_l,license_ref,indexed_in_crossref,pmid,pmcid,ut,url,doaj
Leipzig U,2020,1773.1,10.1038/s41598-019-56509-5,Deep sequencing and automated histochemistry of human tissue slice cultures improve their usability as preclinical model for cancer research,"Haehnel, Susann;Reiche, Kristin;Loeffler, Dennis;Horn, Andreas;Blumert, Conny;Puppel, Sven-Holger;Kaiser, Nicole;Rapp, Felicitas;Rade, Michael;Horn, Friedemann;Meixensberger, Juergen;Bechmann, Ingo;Gaunitz, Frank;Winter, Karsten",FALSE,Springer Nature,Scientific Reports,2045-2322,,2045-2322,2045-2322,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,31882946,PMC6934722,ut:000509306800003,http://www.nature.com/articles/s41598-019-56509-5.pdf,TRUE
Leipzig U,2020,603.57,10.1002/ccr3.2219,"Erythematous scaling lesions of the face, dorsal fingers, elbows, and knees together with symmetrical muscle weakness in a child","Markovic, Aleksander;Schuster, Volker;Simon, Jan‐Christoph;Kunz, Manfred",FALSE,Wiley-Blackwell,Clinical Case Reports,2050-0904,2050-0904,2050-0904,2050-0904,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,31360483,PMC6637353,ut:000476601100019,https://onlinelibrary.wiley.com/doi/pdf/10.1002/ccr3.2219,TRUE
Leipzig U,2020,2026.74,10.3389/fimmu.2019.02748,Distinct Features of Canine Non-conventional CD4−CD8α− Double-Negative TCRαβ+ vs. TCRγδ+ T Cells,"Rabiger, Friederike V.;Rothe, Kathrin;von Buttlar, Heiner;Bismarck, Doris;Büttner, Mathias;Moore, Peter F.;Eschke, Maria;Alber, Gottfried",FALSE,Frontiers Media SA,Frontiers in Immunology,1664-3224,,1664-3224,1664-3224,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,31824515,PMC6883510,ut:000501253200001,https://www.frontiersin.org/article/10.3389/fimmu.2019.02748/full,TRUE
Leipzig U,2020,2026.74,10.3389/fpsyt.2019.00858,Depressive Symptom Clusters in Relation to Body Weight Status: Results From Two Large European Multicenter Studies,"Baldofski, Sabrina;Mauche, Nicole;Dogan-Sander, Ezgi;Bot, Mariska;Brouwer, Ingeborg A.;Paans, Nadine P. G.;Cabout, Mieke;Gili, Margarita;van Grootheest, Gerard;Hegerl, Ulrich;Owens, Matthew;Roca, Miquel;Visser, Marjolein;Watkins, Ed;Penninx, Brenda W. J. H.;Kohls, Elisabeth",FALSE,Frontiers Media SA,Frontiers in Psychiatry,1664-0640,,1664-0640,1664-0640,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,31824355,PMC6882291,ut:000501261500001,https://www.frontiersin.org/article/10.3389/fpsyt.2019.00858/full,TRUE
Leipzig U,2020,2475.2,10.1002/jcsm.12484,Prognostic role of body composition parameters in gastric/gastroesophageal junction cancer patients from the EXPAND trial,"Hacker, Ulrich T.;Hasenclever, Dirk;Linder, Nicolas;Stocker, Gertraud;Chung, Hyun‐Cheol;Kang, Yoon‐Koo;Moehler, Markus;Busse, Harald;Lordick, Florian",FALSE,Wiley-Blackwell,"Journal of Cachexia, Sarcopenia and Muscle",2190-5991,2190-5991,2190-6009,2190-5991,http://creativecommons.org/licenses/cc-by-nc-nd/4.0/,TRUE,31464089,PMC7015239,ut:000490285300001,https://onlinelibrary.wiley.com/doi/pdf/10.1002/jcsm.12484,TRUE
Leipzig U,2020,2094.4,10.1111/cpr.12702,Non‐enzymatic reaction of carnosine and glyceraldehyde‐3‐phosphate accompanies metabolic changes of the pentose phosphate pathway,"Oppermann, Henry;Birkemeyer, Claudia;Meixensberger, Jürgen;Gaunitz, Frank",FALSE,Wiley-Blackwell,Cell Proliferation,0960-7722,0960-7722,1365-2184,0960-7722,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,31628715,PMC7046307,ut:000491424000001,https://onlinelibrary.wiley.com/doi/pdf/10.1111/cpr.12702,TRUE
Leipzig U,2020,1773.1,10.1038/s41598-019-56294-1,Sol-gel synthesis of α-Al2O3 with enhanced porosity via dicarboxylic acid templating,"Carstens, Simon;Splith, Christian;Enke, Dirk",FALSE,Springer Nature,Scientific Reports,2045-2322,,2045-2322,2045-2322,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,31882695,PMC6934583,ut:000509311700010,http://www.nature.com/articles/s41598-019-56294-1.pdf,TRUE
Leipzig U,2020,2026.74,10.3389/fncel.2019.00517,GABA-Glycine Cotransmitting Neurons in the Ventrolateral Medulla: Development and Functional Relevance for Breathing,"Hirrlinger, Johannes;Marx, Grit;Besser, Stefanie;Sicker, Marit;Köhler, Susanne;Hirrlinger, Petra G.;Wojcik, Sonja M.;Eulenburg, Volker;Winkler, Ulrike;Hülsmann, Swen",FALSE,Frontiers Media SA,Frontiers in Cellular Neuroscience,1662-5102,,1662-5102,1662-5102,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,31803026,PMC6877658,ut:000501348600001,https://www.frontiersin.org/article/10.3389/fncel.2019.00517/full,TRUE
Leipzig U,2020,3963.17,10.1002/advs.201900491,Biocatalytic Degradation Efficiency of Postconsumer Polyethylene Terephthalate Packaging Determined by Their Polymer Microstructures,"Wei, Ren;Breite, Daniel;Song, Chen;Gräsing, Daniel;Ploss, Tina;Hille, Patrick;Schwerdtfeger, Ruth;Matysik, Jörg;Schulze, Agnes;Zimmermann, Wolfgang",FALSE,Wiley-Blackwell,Advanced Science,2198-3844,2198-3844,2198-3844,2198-3844,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,31380212,PMC6662049,ut:000477711600016,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2Fadvs.201900491,TRUE
Leipzig U,2020,1270.92,10.1111/jvim.15638,Review of cobalamin status and disorders of cobalamin metabolism in dogs,"Kather, Stefanie;Grützner, Niels;Kook, Peter H.;Dengler, Franziska;Heilmann, Romy M.",FALSE,Wiley-Blackwell,Journal of Veterinary Internal Medicine,0891-6640,0891-6640,1939-1676,0891-6640,http://creativecommons.org/licenses/cc-by/4.0/,TRUE,31758868,PMC6979111,ut:000498078300001,https://onlinelibrary.wiley.com/doi/pdf/10.1111/jvim.15638,TRUE
